eval_task,after_task_0,after_task_1,after_task_2,after_task_3,after_task_4
0,0.975900,0.957800,0.898100,0.874500,0.797600
1,0.899100,0.738200,0.620600,0.528800,
2,0.904200,0.841200,0.770500,,
3,0.910400,0.861200,,,
4,0.903000,,,,
