eval_task,after_task_0,after_task_1,after_task_2,after_task_3,after_task_4
0,0.900500,0.894500,0.873000,0.837000,0.770500
1,0.917200,0.909300,0.892100,0.872600,
2,0.922500,0.912200,0.900000,,
3,0.927800,0.917800,,,
4,0.929300,,,,
