task_id,epoch,train_loss,train_acc,grad_norm_mean,grad_norm_std,update_norm_mean,update_norm_std
0,1,0.5001593655717265,0.939755230951441,None,None,None,None
0,2,0.12958677140558325,0.9961310698776155,None,None,None,None
0,3,0.041135811032576616,0.9966837741808132,None,None,None,None
0,4,0.023667542942410996,0.996999605211212,None,None,None,None
0,5,0.01715683905691632,0.9971575207264114,None,None,None,None
1,1,0.613058936130972,0.7995698568946976,None,None,None,None
1,2,0.3044586695625297,0.9424269997518405,None,None,None,None
1,3,0.16139220251871333,0.9534287368682273,None,None,None,None
1,4,0.12581249333770797,0.9600463231036479,None,None,None,None
1,5,0.11061198355689976,0.9653403920919844,None,None,None,None
2,1,0.4870334358931032,0.7985439048210956,None,None,None,None
2,2,0.22476260760630531,0.9243540797300897,None,None,None,None
2,3,0.13020761631753996,0.9588919470833703,None,None,None,None
2,4,0.09098659967222222,0.9727426085412413,None,None,None,None
2,5,0.07134377839977127,0.978247358607831,None,None,None,None
3,1,0.36497555458405273,0.9263728145776903,None,None,None,None
3,2,0.07699370085180961,0.9947467782976278,None,None,None,None
3,3,0.03684867732679782,0.9965525732578183,None,None,None,None
3,4,0.024962479636216218,0.9970450627924157,None,None,None,None
3,5,0.01935369689129143,0.9972092259706148,None,None,None,None
4,1,0.2970917843534785,0.9238135593220339,None,None,None,None
4,2,0.14952498952526663,0.9549152542372882,None,None,None,None
4,3,0.11755663936531519,0.9621186440677966,None,None,None,None
4,4,0.10113542376251859,0.9667796610169491,None,None,None,None
4,5,0.09057573887926006,0.9700847457627119,None,None,None,None
