eval_task,after_task_0,after_task_1,after_task_2,after_task_3,after_task_4
0,0.971800,0.949900,0.930300,0.870400,0.827200
1,0.892000,0.832100,0.695700,0.679200,
2,0.894600,0.846600,0.828300,,
3,0.897500,0.853500,,,
4,0.892000,,,,
