task_id,epoch,train_loss,train_acc,grad_norm_mean,grad_norm_std,update_norm_mean,update_norm_std
0,1,0.2302878901469715,0.9307666666666666,1.7752304257670573,1.3263987889463147,0.0529470741332819,0.012379993543580523
0,2,0.1020291299326988,0.9686333333333333,1.143648767347176,1.2357504552060972,0.04972855495009571,0.013532572141096978
0,3,0.07508630468547046,0.97665,0.9357149171864149,1.20560288590204,0.048487007439136504,0.015126670925787882
1,1,2.453650043134888,0.34176666666666666,5.704696175714334,2.744550568131004,0.0022961903495985706,0.0002518579046005946
1,2,0.7822637200672179,0.7423333333333333,3.559974137912194,0.9662974316549124,0.0024090746437820296,7.810632624327717e-05
1,3,0.4997308557483678,0.8440333333333333,3.3809552643274268,1.281938841663644,0.0024553545945867274,7.851485854554809e-05
2,1,1.8123136208827297,0.43506666666666666,5.26802228273948,1.7085558633347615,0.0021662766271232006,0.0001393668737111053
2,2,0.67695457611233,0.776,3.6929107136229673,1.1557631587613857,0.0023517135871807112,7.672891266396608e-05
2,3,0.4828399999101336,0.8474,3.484758324638009,1.421004697409493,0.0024258164307490613,8.129195681404659e-05
3,1,1.7664185071016352,0.4573833333333333,6.061871438741684,2.009416717337263,0.0020642790399336567,0.00016092396978828507
3,2,0.691132735605662,0.7755333333333333,3.969018297513326,1.2291310901097807,0.0022903989339635397,8.821499125423549e-05
3,3,0.479446333038155,0.8513166666666667,3.621477327659726,1.5155416445928664,0.0023835043666961915,8.051996987386966e-05
4,1,1.8857924960106611,0.4143,6.4689474865794185,1.933182180128811,0.002038894854680014,0.0001505307084277907
4,2,0.6755127997410794,0.7752,4.133065520048142,1.3227045400560737,0.002293340532341972,8.59897068935346e-05
4,3,0.4686780295918385,0.8534833333333334,3.7108457669764756,1.5575580024028264,0.0024027974256314337,7.950670390167132e-05
